characteristics,target,targetSd,comparator,comparatorSd,tag,isNa,targetSize,comparatorSize,statistics,analysisId,conceptIds,hasValue,summary,conceptSetId
"eGFR (MDRD), ML/min/1.73m2 mean",54.7,25.1,54.5,24.9,Lab values,,,,mean,705,3049187,,Y,394
eGFR (MDRD) >= 90,363,,365,,Lab values,,,,n,705,3049187,covariateValue >= 90,,394
eGFR (MDRD) >= 60,1294,,1337,,Lab values,,,,n,705,3049187,covariateValue >= 60,,394
eGFR (MDRD) >= 45 to <60,690,,658,,Lab values,,,,n,705,3049187,covariateValue >= 45 & covariateValue < 60,,394
eGFR (MDRD) >= 30 to <45,994,,944,,Lab values,,,,n,705,3049187,covariateValue >= 30 & covariateValue < 45,,394
eGFR (MDRD) < 60,516,,546,,Lab values,,,,n,705,3049187,covariateValue < 60,,394
"UACR, median, mg/g",162,,162,,Lab values,,,,median,705,3001802;3020682;3034485,,Y,114
No. (%)c <30,696,,696,,Lab values,,,,n,705,3001802;3020682;3034485,covariateValue < 30,,114
No. (%)c 30-300,1463,,1431,,Lab values,,,,n,705,3001802;3020682;3034485,covariateValue >= 30 & covariateValue <= 300,,114
No. (%)c > 300,1333,,1357,,Lab values,,,,n,705,3001802;3020682;3034485,covariateValue > 300,,114
Body mass index,31.4,5.3,31.3,5.4,Demographics,,,,mean,705,3038553;40762636,,Y,117
Hemoglobin A1c,7.9,1,8,1,Lab values,,,,mean,705,2212392;3004410,,Y,124
"Fasting plasma glucose, mg/dL",151.2,45,151.2,45,Lab values,,,,mean,705,3004501,,Y,123
"Diabetes duration, y",15,9.6,14.5,9.3,Diabetes duration,Y,,,continuous,,,,,NA
"Systolic blood pressure, mm Hg",140.4,17.7,140.6,18,Lab values,,,,mean,705,3004249,,Y,121
"Diastolic blood pressure, mm Hg",77.8,10.5,77.9,10.4,Lab values,,,,mean,705,3012888,,Y,120
"Heart rate, /min",69.8,12.2,69.8,12.3,Lab values,,,,mean,705,3027018;4239408,,Y,125
"Total cholesterol, mg/dL",173,49,171,47,Lab values,,,,mean,705,3027114;3037598,,Y,132
"Low-density lipoprotein cholesterol, mg/dL",92,40,9,39,Lab values,,,,mean,705,3028288;3028437;3035899,,Y,129
"High-density lipoprotein cholesterol, mg/dL",45,13,44,13,Lab values,,,,mean,705,3007070,,Y,127
"Triglycerides, mg/dL",190,136,187,130,Lab values,,,,mean,705,3014600;3022192,,Y,133
"1 Glucose-lowering medication, No. (%) ",3378,,3376,,Glucose-lowering medication,,,,n,410,,,,305
Metformin,1881,,1927,,Glucose-lowering medication,,,,n,410,,,,281
Sulfonylurea,1102,,1140,,Glucose-lowering medication,,,,n,410,,,,137
Insulin,2056,,1995,,Glucose-lowering medication,,,,n,410,,,,325
"No. of background glucose-lowering therapies, No. (%)",0,,0,,Background glucose-lowering therapies,Y,,,n,,,,,NA
"1 Antihypertensive medication, No. (%)",3337,,3354,,Antihypertensive medication,,,,n,410,,,,240
ACE inhibitors or ARBs,2860,,2798,,Antihypertensive medication,,,,n,410,,,,270
Beta-blockers,2080,,2073,,Antihypertensive medication,,,,n,410,,,,271
Diuretics,1892,,1936,,Antihypertensive medication,,,,n,410,,,,374
Calcium antagonists,1433,,1446,,Antihypertensive medication,,,,n,410,,,,272
Aspirin,2166,,2178,,Medication history,,,,n,410,,,,369
Statin,2495,,2523,,Medication history,,,,n,410,,,,373
